ID,SID,PID,port,PORT_LON,PORT_LAT,start_date,end_date,start_recovery_date,end_recovery_date,total_impact,total_impact_value,max_impact,day_of_recover,DD,CCD,BCD,SSHS,SSHS_1,SSHS_2,SSHS_3,SSHS_4,SSHS_5,IF_LANDFALL_CLOSE2PORT,IF_LANDFALL,WIND,PRESSURE,DISTANCE,Wind_speed,Surge_height,Rainfall,Port_ranking,D_normal,D_cyclone,C_normal,C_cyclone,B_normal,B_cyclone,E_normal,E_cyclone,Seaport,Pop_C,Pop_Tract,PCT_Pov,WF,PCT_TA,PCT_ACEW,PCT_TI,PCT_SV,SL,Railway_Length,Highway_Length,Dock_Count,Coast_Gulf_of_Mexico,Coast_Atlantic,Coast_Pacific
1,2015126N27281,50,"Jacksonville, FL",-81.665125,30.322757,5/6/2015,5/10/2015,0,0,0,0,0,0,0,0.027735189,0,0,0,0,0,0,0,0,0,25,1015,374.9737745,9.1,0.211,0.0203,34,11.5,11,0.219323974,0.191588785,0.018850358,0.027939931,0.207086346,0.264708145,1,995566,2320,0.94,1,28.973877,35.3806249,72.24672258,87.88431288,0.225099112,75.09877095,135.9016911,20,0,1,0
2,2015126N27281,51,"Port of Brunswick, GA",-81.53666,31.132426,5/6/2015,5/10/2015,0,0,0,0,0,0,0,0.035109811,0.005404539,0,0,0,0,0,0,0,0,43,1002,373.7609965,10.5,0.365,0.1402,97,6.5,6,0.187636805,0.152526994,0.005404539,0,0.132315917,0.169848555,1,84500,5359,0.51,0,93.57528436,7.209147372,96.45748988,13.58739692,0.402141383,24.94975637,10.89814897,14,0,1,0
3,2015126N27281,52,"Port of Savannah, GA",-81.095382,32.084711,5/6/2015,5/11/2015,5/5/2015,5/6/2015 0:00,1,15.10557376,0.618981244,1,0,0.00780361,0,0,0,0,0,0,0,1,1,40,1002,279.6584994,11.9,0.362,0.6808,13,11.375,14,0.220104697,0.212301086,0.016588069,0.020278659,0.245153806,0.292369051,1,295291,2929,0.61,0,4.542606516,90.60633463,8.220069404,72.05538872,2.542949951,86.51748892,96.48221647,26,0,1,0
4,2015126N27281,53,"Port of Charleston, SC",-79.921595,32.788781,5/6/2015,5/11/2015,0,0,0,0,0,0,1,0.021323895,0.003385704,0,0,0,0,0,0,1,1,40,1002,145.3918129,10.3,0.391,0,23,12.375,11,0.22567978,0.204355885,0.014601613,0.011215909,0.25602816,0.293629545,1,408481,1191,0.72,0,4.482359746,81.49584751,4.012434933,50.38610039,1.713303,19.19921243,50.19533816,6,0,1,0
5,2015126N27281,54,"Wilmington, NC",-77.950496,34.227365,5/6/2015,5/11/2015,5/8/2015,5/10/2015 0:00,1,3.822341158,0.682339525,2,1,0.023205984,0,0,0,0,0,0,0,1,1,30,1008,66.9654017,16.8,0.449,9.8739,62,5.25,4,0.17414938,0.150943396,0.002072482,0.003241418,0.117585342,0.082257655,1,225707,1846,0.89,0,32.78147291,49.1397568,31.96332177,73.42223176,2.101888761,26.25174742,53.52483823,20,0,1,0
6,2015126N27281,55,"Morehead City, NC",-76.72421,34.71693,5/6/2015,5/12/2015,0,0,0,0,0,0,1,0.108151819,0,0,0,0,0,0,0,1,1,30,1011,149.4090646,14.2,0.217,5.2129,108,1,0,0.108151819,0,0,0,0.01941109,3.64E-43,1,67685,1236,0.27,0,33.21042992,96.75534826,31.02106227,56.64950665,0.742525,25.98292613,19.80369527,15,0,1,0
7,2015126N27281,126,"Tampa Port Authority, FL",-82.52235,27.78534,5/6/2015,5/6/2015,0,0,0,0,0,0,0,0.01800098,2.49E-04,0,0,0,0,0,0,0,0,25,1016,346.53443,7.6,0.21,0,21,7.5,7,0.178455739,0.160454759,0.006629625,0.006380694,0.155356366,0.168164748,1,1459779,2655,0.05,0,55.20773087,23.75960783,51.37242144,65.91710758,1.920762842,0,0,75,1,0,0
8,2015126N27281,127,"Manatee County Port, FL",-82.564143,27.633681,5/6/2015,5/6/2015,0,0,0,0,0,0,1,0.026966039,4.07E-05,0,0,0,0,0,0,0,0,25,1016,345.816232,5.7,0.183,0,67,1.875,1,0.137191481,0.110225443,4.07E-05,0,0.035889609,0.018131485,1,399714,4204,0.27,1,61.55894544,99.87387859,75.53499132,67.56041756,8.638611,28.12006348,12.09063735,9,1,0,0
9,2015126N27281,128,"Canaveral Port District, FL",-80.60815,28.41409,5/6/2015,5/8/2015,0,0,0,0,0,0,1,0.098292395,0,0,0,0,0,0,0,1,1,25,1016,196.2442796,6.3,0.29,0.7305,66,0.875,0,0.098292395,0,0,0,0.021437281,4.43E-54,1,606621,2131,0,0,28.35333526,79.73966637,28.38948332,36.98579532,0.460419931,0,35.98131128,22,0,1,0
10,2015126N27281,129,"Port of Palm Beach District, FL",-80.05267,26.76904,5/6/2015,5/7/2015,0,0,0,0,0,0,1,0.114797679,3.48E-05,0,0,0,0,0,0,0,1,25,1016,84.86158156,12.4,0.22,1.6813,116,1.375,0,0.114797679,0,3.48E-05,0,0.032927557,2.17E-55,1,1492199,2494,0.64,0,37.44336804,50.91854461,39.7351552,89.16893084,0.047985685,50.39588208,45.45289096,13,0,1,0
