response,ground_truth
,Yes
Yes,Yes
C,B.
,B.
B,A.
B,A.
,"Port O'Connor to Sargent, Texas"
,"Port O'Connor to Sargent, Texas"
,"Mouth of the Rio Grande to Port O'Connor, Texas"
,"Mouth of the Rio Grande to Port O'Connor, Texas"
,"25.2N, 91.6W"
,"25.0N, 89.9W"
W,W
W,W
,18 mph
,16 mph
,"South and central Texas coast from the Rio Grande northward to Sargent, including Baffin Bay, Corpus Christi Bay and Matagorda Bay"
,South and central Texas coast from the mouth of the Rio Grande northward through Matagorda Bay
,PORT O CONNOR
ROCKPORT TX,PORT O CONNOR TX
3,7%
2,9%
,<1%
0,0%
N/A,24
N/A,18
N/A,N/A
,N/A
N/A,7%
N/A,8%
,D.
B,B.
Mouth of Rio Grande to Sargent,"South and central Texas coast from the Rio Grande northward to Sargent, including Baffin Bay, Corpus Christi Bay and Matagorda Bay"
,South and central Texas coast from the mouth of the Rio Grande northward through Matagorda Bay
,A.
A,A.
,C.
,C.
,"South and central Texas coast from the Rio Grande northward to Sargent, including Baffin Bay, Corpus Christi Bay and Matagorda Bay"
,South and central Texas coast from the mouth of the Rio Grande northward through Matagorda Bay
28,20
,24
,N/A
16,N/A
B,B.
B,D.
B,B.
,B.
B,B.
,B.
,No
No,No
,B.
B,B.
12,20
24,24
A,B.
,A.
D,C.
,B.
,A.
D,C.
,Dangerous surf and rip currents; isolated tornadoes possible in rainbands Tuesday.
Life-threatening surf and rip current conditions are likely.,Dangerous surf and rip currents along nearby barrier islands; minor coastal flooding during high-tide cycles.
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""5"",
    ""in 48h"": ""X"",
    ""in 72h"": ""X"",
    ""in 10"",
    ""X"", ""X"", ""X"", 2 </X. </</ 7
    </X2 </X</X
1 </X, ""

</X</X - </X</X 9 </X </X</X </
</X) </X </X </X </X </X
</.X </X
1</X- </X </X </X
```</X </X
1 < </X </X
</X </X</X</18 </X </X
```
</H </X

```","{'in 12h': '0%', 'in 24h': '6%', 'in 48h': '7%', 'in 72h': '7%', 'in 96h': '7%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""7"",
    ""in 24h"": ""34"",
    ""in 48h"": ""0"",
    ""in 72h"": ""0"",
    ""in 96h"": ""0""
  }
}
```","{'in 12h': '0%', 'in 24h': '8%', 'in 48h': '1%', 'in 72h': '0%', 'in 96h': '0%'}"
22-08-2023,None
,None
,None
,None
,None
,None
,0
,0
,None
3,None
,None
1,None
C,A.
,A.
