response,ground_truth
,No
Yes,No
Yes,No
Yes,No
No,No
Yes,No
Yes,No
C,A.
B,A.
C,A.
,A.
B,A.
B,A.
B,A.
C,A.
B,A.
C,A.
B,A.
A,A.
B,A.
B,A.
Quintana Roo to Belize,"Hurricane watch area from Cabo Rojo to Laguna Verde, Mexico"
Quintana Roo to Belize,Hurricane Watch only posted along the Veracruz coast of Mexico (Cabo Rojo to Laguna Verde)
Tampico to Puerto Barrios,Tropical Storm Warning: north of Cabo Rojo to Rio Panuco and south of Laguna Verde to Puerto Veracruz (Mexico)
Belize City to Livingston,"Cabo Rojo to Laguna Verde, Mexico (Hurricane Watch)"
Tampico to Livingston,"None at this time (hurricane watch possible later for Veracruz, MX only)"
Campeche to Honduras,None issued
Campeche to Honduras,None
Belize to Honduras,Hurricane Warning Cabo Rojo to Laguna Verde; Tropical-Storm Warning north of Cabo Rojo to Rio Panuco and south of Laguna Verde to Puerto Veracruz
Belize to Honduras,Hurricane Warning Cabo Rojo to Laguna Verde; Tropical-Storm Warning north of Cabo Rojo to Rio Panuco and south of Laguna Verde to Puerto Veracruz
Campeche to Belize,Hurricane Warning: Cabo Rojo to Laguna Verde (Mexico)
Belize to Honduras,None in effect (warnings expected Thursday for Mexican coast)
Campeche to Belize,None
Belize to Honduras,None issued
Campeche to Belize,None
"18.5N, 94.1W","21.0N, 95.8W"
"21.6N, 94.6W","21.5N, 95.1W"
"21.5N, 94.5W","21.6N, 94.6W"
"21.1N, 95.1W","21.7N, 94.8W"
"22.1N, 96.3W","21.7N, 95.9W"
"22.4N, 96.7W","22.2N, 96.4W"
"22.4N, 96.7W","22.4N, 96.7W"
WSW,WSW
ESE,W
Stationary,Stationary (forecast to turn SW)
SE,ESE
ESE,ESE
ESE,E
ESE,E
3,5 mph
Stationary,3 mph
Stationary,0 mph (stationary)
3,2 mph
2,5 mph
2,2 mph
2,2 mph
"Belize
Guatemala
Honduras",Central-northern Veracruz coast and adjacent southern Tamaulipas coastline of Mexico
"Quintana Roo
Campeche
Yucatán Peninsula",Veracruz and southern Tamaulipas coastline of Mexico
Belize,Central Veracruz coastline and adjacent Bay of Campeche shorelines
"Mexico
Belize
Guatemala",Central-northern Veracruz and far southern Tamaulipas coasts of Mexico
,Mexican coast from about Tampico southward to Veracruz in the southwestern Gulf of Mexico
"Mexico
Belize
Honduras
Guatemala",South-central Mexican Gulf coast from Tampico to Veracruz
Belize,Southwestern Gulf coast of Mexico from Tampico southward to Veracruz
"There is no Brownsville, TX listed in the table. The closest listed locations are LA PESCA MX, TAMPICO MX, TUXPAN MX, and VERACRUZ MX.",LA PESCA MX
FRONTERA MX,TAMPICO MX
FRONTERA MX,"None listed for Brownsville, TX"
BROWNSVILLE TX,BROWNSVILLE TX
BROWNSVILLE TX,BROWNSVILLE TX
BROWNSVILLE TX,BROWNSVILLE TX
BROWNSVILLE TX,BROWNSVILLE TX
"There is no data for Brownsville, TX in the provided text.",0%
"There is no data for Brownsville, TX in the provided text.",0%
"There is no data for Brownsville, TX in the provided text.",0%
4,4%
1,4%
1,6%
1,6%
