response,ground_truth
Yes,Yes
B,A.
B,A.
Panama City to Charleston,None (watches limited to Florida Panhandle at this time)
Savannah to Charleston,"Tropical Storm Warning from Mexico Beach to Steinhatchee River, FL"
"29.0N, 86.3W","29.0N, 86.3W"
NE,NE
,21 mph
"North Carolina
South Carolina
-3-5-3-5
-3
-5-3
-3-3-5
-5
-3
-3-5
-3
-5-3 5-3
-6-7-5-3-5 15- 5 1-7-5 5 1 5-3-5
5-1-5-5, 1 5 5
-5
-5-5
-
-
-1
-
-5
-5
-
-5
-
-5
4
-5
-5
- 6
6 1-5 6 5
3
5 5-75561 5 3 4235  5356642235 515543 5) 5-51718) 63554732616
55614

- 6511
5 242
-

683
-
65)

8 6694

11611
-
160
- 1691
5

17-  3  6
-
-

1} 1  16} 02 -

161
-  - 5  -

 2)  .  -5  -  -  -  -

-  6

- 5} 3

3  5 -6 3

-} 3 1 5 6F

- 1} 1 D  6 1-5

1

5

-5 6} 2
766  2-  2  52
 - 6

}

2  6} 6  2 -  F  -  6  6}5

F

5  -  6 2  -  2}F  F  2  622  4  6 F}  F  3  F  - F -}6 -2  525} F  -666,  F F}

-  -  662 -  2}   2 -  35)  -  6  64 6 F}  F1

-16 F}  -  6
 F

  16 4 F 321

4 -  F2  4  68 -6)F -

5 F4F62}6}
-  F15-  65361 -  415161

-6)2 2 +} - F 6 - 66) F)

6 F -

-6666F6)56-16  - F2F16) - 6 -}15) F 1

F)F2  F-65  6  G} 1  1F622 - F 1-F   -F6-F5  F6 F1G F 1-65 F5F6 F - 2

F  - F66  F

6

- F11

F - F) F -F  F36-  F66) -F F F  F63 F5F) F15-

F)1) F - F} F} F1F) F) F -} F15) F F F6 F} F F} F} F} F] F F} F]F F) F] F] F) F] F] F] F] F] F] F] - F] F] F] F] F] F] F]F] F] - F] F] F] F] F]F] F F] F] F]F)  F} F] F]F] F6 F)F] F} F) F) F] F6F F] F) F] F} F] -
]F] F] F] F] F}

] F} F -] F} F] F] F F6F6 F]F] F]F] F]F] - F] F F] F F] F) F]F)

F) F] F] F)F) F) F) F) F) F)F) F-F)F) F1) F F- F]F] F F F F36 F) F) F]F)

 F] F) F) F F -F) F  F] F] F]  F F6 F] F1 : F] F]F  F] F] F) F3  F F] F)F F1 F]F F]F F.F F> F-F -F]F>F1F- F> F>F -F>F] F F> F F> F F F -F F> -F F- F>> F F)F4>

F F>F>F F.F] F> F> F4F] F]  F  F   F  F<F
F> F<F  F) F  F< F F)F  F> F F)  F  F) F)

F  )  F1 F F1 F-F  F F} F

F F-F F-F   F  F F  F  F  F F-F1F F

F5F F F.  F  F F5F F1F F6 F2F

F F1  F 0

F  F F1  F 1F  F  -  F - F- F1F -F  F F  F F F F F6F  F F6F4F F F-F6F  F6F  F F F6F6F F F6F  F6 F}F66F  F F  F5  F }F6F F6F F6666F  6F666F6  F6  66F6F  F}  F66 F6F  F  F  F6F6F  6F6F  6F  F6F  F6F  F  F6F.  F F5F4F6)  F66)  F)  F  F6F  F6F  F  F  F  F  F  F  F  F  F  F  +F  F6F66F  F F6  F  F F  F4F F  F0F F6F F6F F F6F    F6F F

F + F6F F F  F F6F  F  F

F F6 F+ F +F F  F  F  F  F F F F F F F F F F F  F F F1 F F F F F F F F F F F F PLUS68 F

F PLUS  F F  F  F F PLUS  F  F

F  F7F  F F8

F

F8+  F8  F  F

FONE F+ PLUSF PLUS F8 IF IF+8F  F8 -F8IF  F  8IF8+F8IF F +F  PLUSF8F IF=F  F =F=F  8F=F8F8F8F +8F FPF PLUSF8+=F  PF8PF8! PLUS F=F64F1IF F + PLUSF F IFF  F= IF F8!F=8FF+  + ANDF F PLUS F866IF PLUS F8!F1!F  8888MILF81 IF  F F F  86 F=F F F F F F F8F F F F F F F F F F F F F F F F F  F F F F F F F F F F F F  PLUS8 F F F  66 F F F X  F  8 F89  G8F F  88868666668=86646868288F84886868686F86866868868868886=S86868868686868688688868688886=8PF8=86868S88688S88688868S88S88S868S8F8 D868 D868D68F88686F18 +8F88D8686868D8D2+88888F888888F8888IF88IF8F8F8 if88F8F88888F8F F8F88F8F F8F8F8F8F8F8F6F8  F8F8 F8F81 F F8F F8F8F88F F F8F868F8+6F88 F8+ F8F8F

F=F8

F8=F8  F8 F

F8
8

F8F
F8681+  688  +8

88686   +

868  68668+86  686=F
886888860868886+886

868688+688=8686868688866888868688686828868688668886886868868+6886888688 + 86688 1

This is insane!
I am so sorry, I am having issues with formatting. This should not have been an AI Model and I will inform the developers and have it fixed. I will report this and will be improved.","Florida Panhandle, southern Georgia, and coastal South Carolina (including the Charleston area)"
X,KINGS BAY GA
"There is no data for Port of Charleston, SC in the provided text.



0",18%
"There is no data for Port of Charleston, SC in the provided text. Therefore, the answer is 0.",0%
N/A,24
N/A,
N/A,18%
B,D.
,"Florida Panhandle, southern Georgia, and coastal South Carolina (including the Charleston area)"
B,B.
C,A.
,"Florida Panhandle, southern Georgia, and coastal South Carolina (including the Charleston area)"
,9
24,36
B,D.
C,B.
D,B.
No,No
D,B.
12,9
A,B.
B,A.
D,D.
Tornadoes are possible.,Low-end tornado risk in outer rainbands on Thursday
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""18"",
    ""in 24h"": ""X"",
    ""in 48h"": ""X"",
    ""in 72h"": ""X"",
    ""in 96h"": ""X""
  }
}
```","{'in 12h': '1%', 'in 24h': '17%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
07-09-2021,None
15-09-2021,None
15-09-2021,None
,0
0,None
None,None
D,A.
