response,ground_truth
Yes,Yes
,Yes
,Yes
,Yes
B,A.
B,A.
C,A.
B,B.
B,B.
,B.
B,B.
,"Hurricane Watch from north of Surf City, NC to Ocracoke Inlet, NC; Storm Surge Watch Surf City to Bogue Inlet and portions of Pamlico/Albemarle Sounds"
Wilmington to Bermuda,"Surf City, NC to Duck, NC; Chesapeake Bay north of Windmill Point to Smith Point; Tidal Potomac south of Colonial Beach; remainder of Pamlico and Albemarle Sounds"
Virginia to North Carolina,"Storm Surge Watch from Surf City NC to Duck NC, Chesapeake Bay north of Windmill Point to Smith Point, Tidal Potomac south of Colonial Beach, remainder of Albemarle and Pamlico Sounds"
,"Surf City NC to Chincoteague VA, including Albemarle & Pamlico Sounds and Chesapeake Bay south of Smith Point"
Wilmington to Cape Hatteras,"Tropical Storm Warning from Cape Fear, NC to Fenwick Island, DE including Albemarle & Pamlico Sounds, Chesapeake Bay south of North Beach and the tidal Potomac south of Cobb Island; Storm Surge Warning Bogue Inlet, NC to Chincoteague, VA"
Wilmington to Morehead City,"Cape Fear, NC to Fenwick Island, DE including Albemarle & Pamlico Sounds, tidal Potomac south of Cobb Island, and Chesapeake Bay south of North Beach"
Savannah to Wilmington,"Tropical Storm Warning from Cape Fear NC to Fenwick Island DE, including Albemarle & Pamlico Sounds, lower Chesapeake Bay and lower Tidal Potomac"
Virginia to North Carolina,"Cape Fear NC to Fenwick Island DE, including Albemarle & Pamlico Sounds and Chesapeake Bay south of Smith Point"
,"32.9N, 76.3W"
"30.5N, 75.0W","30.5N, 75.0W"
"29.2N, 75.9W","29.2N, 75.9W"
,"28.7N, 75.9W"
NNW,NNW
ESE,N (forecast to bend NW-N)
ESE,N
ENE,N
12,13 mph
14,14 mph
8,8 mph
9,9 mph
"Virginia
North Carolina
South Carolina","North Carolina coast, southeastern Virginia, and the Delmarva Peninsula"
"North Carolina
South Carolina
Virginia","Southeastern North Carolina through the mid-Atlantic coast from South Santee River, SC to southern New Jersey"
"Florida
Georgia
South Carolina
North Carolina",Southeast North Carolina through the Mid-Atlantic coast from South Santee River SC to New Jersey
"Florida
Georgia
South Carolina
North Carolina
Virginia
North Carolina",southeastern North Carolina through the Mid-Atlantic coastline
,WILMINGTON NC
,WILMINGTON NC
WILMINGTON NC,WILMINGTON NC
WILMINGTON NC,WILMINGTON NC
,99%
11,61%
1,19%
1,8%
27,14%
,<3%
,1%
0,0%
,0
45,36
6,36
4,72
24,0
,N/A
16,N/A
17,N/A
,99%
,61%
11,10%
,8%
,B.
A,A.
A,A.
,D.
,"North Carolina coast, southeastern Virginia, and the Delmarva Peninsula"
,"Southeastern North Carolina through the mid-Atlantic coast from South Santee River, SC to southern New Jersey"
Surf City NC to Chincoteague VA,Southeast North Carolina through the Mid-Atlantic coast from South Santee River SC to New Jersey
Surf City NC to Chincoteague VA,southeastern North Carolina through the Mid-Atlantic coastline
,B.
A,B.
A,B.
A,B.
C,A.
,C.
,C.
A,A.
,"North Carolina coast, southeastern Virginia, and the Delmarva Peninsula"
North Carolina,"Southeastern North Carolina through the mid-Atlantic coast from South Santee River, SC to southern New Jersey"
North Carolina,Southeast North Carolina through the Mid-Atlantic coast from South Santee River SC to New Jersey
North Carolina,southeastern North Carolina through the Mid-Atlantic coastline
24,12
24,30
28,36
72,45
,24
24,36
21,48
21,24
B,B.
D,D.
,D.
,D.
C,B.
C,B.
,C.
C,B.
,A.
,C.
D,C.
,D.
,Yes
Yes,Yes
,No
,No
A,A.
B,A.
B,B.
B,C.
18,12
12,30
14,36
,45
A,A.
,A.
,A.
A,B.
,B.
,B.
D,B.
D,A.
C,C.
C,C.
,C.
,D.
