response,ground_truth
Yes,No
,No
Yes,No
Yes,No
Yes,No
Yes,No
Yes,No
,Yes
,Yes
Yes,Yes
C,A.
B,A.
C,A.
C,A.
,A.
C,A.
C,A.
C,A.
,A.
,A.
C,A.
C,A.
C,A.
,A.
C,A.
,A.
C,A.
C,C.
C,C.
C,C.
Brownsville to Florida Keys,North of Fernandina Beach FL to Edisto Beach SC under Hurricane Watch; Tropical-storm watches/warnings extend northward to South Santee River SC and westward along the Florida Panhandle coast.
Texas to South Carolina,None
Texas to South Carolina,None
Antigua' to Puerto Rico,"North of Jupiter Inlet to the Flagler/Volusia County Line; North of Bonita Beach to Anclote River; Cuban provinces of Guantanamo, Holguin, Las Tunas and Matanzas"
Antigua to Turks and Caicos,N/A – no watches in effect for the U.S. Virgin Islands
Antigua' to 'Florida',"Jupiter Inlet southward around the Florida peninsula to Bonita Beach, including the Florida Keys, Lake Okeechobee and Florida Bay; Cuba from Matanzas eastward to Guantanamo"
,Hurricane Watches are in effect only for Cuba (Matanzas eastward) and the north-western Bahamas
Turks and Caico Islands to Bahamas,Cuba from Matanzas province eastward to Guantanamo province and the Central Bahamas (Hurricane Watch)
,
,"Guadeloupe, Dominican Republic north coast to Haiti north coast, Turks and Caicos Islands, and the southeastern Bahamas"
Florida to Bermuda,"Hurricane warnings for Fernandina Beach FL southward around the Florida peninsula to Indian Pass, including the Florida Keys, Lake Okeechobee and Florida Bay; Storm-surge warnings from South Santee River SC southward around the peninsula to the Ochlockonee River FL including Tampa Bay."
Florida to Bermuda,None
Florida to South Carolina,None
Belize to Turks and Caicos,"Jupiter Inlet southward around the Florida peninsula to Bonita Beach, the Florida Keys, Lake Okeechobee, Florida Bay, the southeastern, central and northwestern Bahamas, and the north-coast Cuban provinces of Camaguey, Ciego de Avila, Sancti Spiritus and Villa Clara"
Turks and Caicos Islands to Bahamas,"Hurricane and storm-surge warnings currently confined to the Bahamas, Cuba, the Florida Keys and the south-eastern Florida coast"
Antigua to Turks and Caicos,"Dominican Republic north coast, northern Haiti, Turks & Caicos, southeastern-central-northwestern Bahamas"
Antigua to Puerto Rico,"Hurricane Warnings cover Puerto Rico, northern Hispaniola and the Turks & Caicos / southeastern & central Bahamas"
Turks and Caicos Islands to Bermuda,"U.S. Virgin Islands, British Virgin Islands, Puerto Rico (including Vieques & Culebra), northern Dominican Republic, northern Haiti, Southeastern Bahamas and Turks & Caicos"
,"U.S. Virgin Islands, British Virgin Islands, northern Leeward Islands, Puerto Rico and nearby islands"
Antigua to Turks and Caicos,"Antigua, Barbuda, Anguilla, Montserrat, St. Kitts & Nevis, Saba, St. Eustatius, Sint Maarten, Saint Martin, Saint Barthelemy, British Virgin Islands, U.S. Virgin Islands, Puerto Rico (including Vieques & Culebra)"
,"23.7N, 81.3W"
22.8N 79.W,"23.1N, 80.2W"
,"22.3N, 78.2W"
"17.8N, 71.3W","22.0N, 75.3W"
,"21.5N, 73.3W"
"18.1N, 69.4W","20.7N, 70.4W"
,"19.7N, 67.7W"
,"18.5N, 64.7W"
"17.4N, 61.1W","17.7N, 61.8W"
"18.1N, 81.3W","16.9N, 59.1W"
NNW,NW
W,W
ESE,W
WNW,WNW
,WNW
,WNW
WNW,WNW
WNW,WNW
,WNW
W,W
6,6 mph
9,9 mph
13,12 mph
14,14 mph
16,16 mph
16,16 mph
16,16 mph
16,16 mph
,15 mph
14,14 mph
,"Cuban north coast, northwestern Bahamas, entire Florida peninsula and Keys, Gulf Coast of Florida, Georgia and South Carolina coasts."
"Puerto Rico
Dominican Republic
Bahamas
Florida
Georgia
South Carolina","Florida Keys, southwest and west-central Florida coast, and later the southeast United States coast up through South Carolina"
"Puerto Rico
US Virgin Islands
British Virgin Islands
Turks and Caicos Islands
Bahamas
Florida","North coast of Cuba, central and northwestern Bahamas, Florida peninsula and Keys"
"Puerto Rico
US Virgin Islands
British Virgin Islands
Dominican Republic
)300)
)20
)22)22)20)2)3320)22)22)3)22)22)2222222)22)22)2)22)222)22)2)22)2)2)22)2)22)2)2)2)2)2)2)2)22)22)22)2)2)22)22)22)22)22)2)22)2222)2222222)22)2)22)2)22)22)22)222)222)2)22)2)2222)2222)2222222222222)22222222222222)2222222222)2222222222222222222222222222222","Northern coast of Cuba, the Bahamas, Florida Keys and much of the Florida peninsula, with effects spreading northward along the southeast U.S. coast"
"Puerto Rico
Dominican Republic
Turks and Caicos Islands
Bahamas","Southeastern & central Bahamas, Turks and Caicos, northern Cuba coast, Florida Keys, South Florida"
,"Northern coast of Hispaniola, Turks & Caicos, Bahamas, north coast of Cuba, eventually the Florida peninsula"
,"Northern Leeward Islands, Puerto Rico, Virgin Islands, northern Hispaniola, Turks & Caicos, Bahamas, and eventually the Florida peninsula"
"Puerto Rico
US Virgin Islands
British Virgin Islands","Northern Leeward Islands, Virgin Islands, Puerto Rico, north coasts of Hispaniola, Turks and Caicos, southeastern Bahamas"
