id,LLM1_score,LLM1_hallucinated,LLM1_ReactionLevel,LLM2_score,LLM2_hallucinated,LLM2_ReactionLevel,LLM3_score,LLM3_hallucinated,LLM3_ReactionLevel,LLM4_score,LLM4_hallucinated,LLM4_ReactionLevel,LLM5_score,LLM5_hallucinated,LLM5_ReactionLevel,LLM6_score,LLM6_hallucinated,LLM6_ReactionLevel,LLM7_score,LLM7_hallucinated,LLM7_ReactionLevel
45,1.0,False,,1.0,False,,1.0,False,,1.0,False,,0.0,False,,1.0,False,,1.0,False,
46,1.0,False,,1.0,False,,1.0,False,,1.0,False,,0.0,False,,1.0,False,,1.0,False,
47,1.0,False,,0.0,False,,1.0,False,,1.0,False,,0.0,False,,1.0,False,,1.0,False,
48,1.0,False,,1.0,False,,1.0,False,,1.0,False,,0.0,False,,1.0,False,,1.0,False,
49,1.0,False,,1.0,False,,1.0,False,,1.0,False,,0.0,False,,1.0,False,,1.0,False,
155,1.0,False,,0.2,True,,1.0,False,,0.0,True,,0.2,True,,0.2,True,,1.0,False,
156,0.8,False,,1.0,False,,1.0,False,,1.0,False,,0.2,True,,0.8,False,,1.0,False,
158,0.0,False,,0.6,False,,1.0,False,,0.0,True,,0.0,False,,0.6,False,,1.0,False,
159,0.0,False,,0.8,False,,1.0,False,,0.0,True,,0.0,True,,1.0,False,,1.0,False,
218,1.0,False,,0.0,False,,1.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,
219,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,
262,0.0,False,,0.0,True,,0.0,True,,0.0,True,,0.6,False,,0.0,True,,0.0,True,
298,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,
299,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,
342,0.0,False,,0.0,True,,0.0,True,,0.0,True,,0.6,False,,0.0,True,,0.0,True,
343,0.0,False,,0.0,True,,0.6,False,,0.0,True,,0.0,False,,0.0,True,,0.0,False,
378,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,
379,1.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,1.0,False,,0.0,False,
423,0.0,False,,0.0,False,,0.0,False,,0.0,True,,0.6,False,,0.0,True,,0.0,False,
458,1.0,False,,1.0,False,,1.0,False,,1.0,False,,1.0,False,,1.0,False,,1.0,False,
459,1.0,False,,1.0,False,,1.0,False,,1.0,False,,0.8,False,,1.0,False,,1.0,False,
538,1.0,False,,1.0,False,,1.0,False,,1.0,False,,1.0,False,,1.0,False,,1.0,False,
539,1.0,False,,0.4,False,,1.0,False,,0.4,False,,1.0,False,,0.6,False,,1.0,False,
582,0.8,False,,0.8,False,,1.0,False,,1.0,False,,0.4,False,,0.0,True,,1.0,False,
663,1.0,False,,1.0,False,,1.0,False,,1.0,False,,1.0,False,,0.4,False,,1.0,False,
664,1.0,False,,1.0,False,,1.0,False,,1.0,False,,1.0,False,,1.0,False,,1.0,False,
665,1.0,False,,1.0,False,,1.0,False,,1.0,False,,1.0,False,,0.4,False,,1.0,False,
666,1.0,False,,1.0,False,,1.0,False,,1.0,False,,1.0,False,,0.4,False,,1.0,False,
667,1.0,False,,1.0,False,,1.0,False,,1.0,False,,1.0,False,,0.4,False,,1.0,False,
668,1.0,False,,0.4,False,,1.0,False,,1.0,False,,0.4,False,,0.4,False,,1.0,False,
669,1.0,False,,0.6,False,,0.4,False,,0.4,False,,0.0,True,,0.4,False,,0.4,False,
817,0.2,False,,0.0,True,,0.2,False,,0.0,True,,0.6,False,,0.0,True,,0.2,False,
818,1.0,False,,0.0,True,,1.0,False,,0.0,True,,0.8,False,,0.0,True,,1.0,False,
820,0.2,False,,0.6,False,,1.0,False,,0.2,False,,0.2,False,,0.6,False,,0.0,True,
821,0.2,False,,0.2,False,,0.2,False,,0.0,True,,0.2,False,,1.0,False,,0.0,True,
