id,LLM1_score,LLM1_hallucinated,LLM1_ReactionLevel,LLM2_score,LLM2_hallucinated,LLM2_ReactionLevel,LLM3_score,LLM3_hallucinated,LLM3_ReactionLevel,LLM4_score,LLM4_hallucinated,LLM4_ReactionLevel,LLM5_score,LLM5_hallucinated,LLM5_ReactionLevel,LLM6_score,LLM6_hallucinated,LLM6_ReactionLevel,LLM7_score,LLM7_hallucinated,LLM7_ReactionLevel
15,0.0,False,,0.2,False,,0.4,False,,0.0,True,,0.0,False,,0.0,False,,0.2,False,
16,0.0,False,,0.2,False,,0.4,False,,0.0,True,,0.0,False,,0.0,False,,0.2,False,
17,0.0,False,,0.0,False,,0.4,False,,0.0,True,,0.0,False,,0.0,True,,0.2,False,
18,0.6,False,,0.4,False,,0.0,False,,0.0,True,,0.0,False,,0.0,False,,0.2,False,
19,0.4,False,,0.0,False,,0.0,False,,0.4,False,,0.0,False,,0.0,False,,0.2,False,
20,0.0,False,,0.4,False,,0.6,False,,0.0,True,,0.0,False,,0.0,False,,0.2,False,
21,0.0,False,,0.4,False,,0.6,False,,0.0,True,,0.0,False,,0.0,False,,0.2,False,
22,0.0,False,,0.0,True,,0.4,False,,0.0,True,,0.0,False,,0.0,False,,0.2,False,
23,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,
24,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,
30,1.0,False,,1.0,False,,1.0,False,,0.8,False,,0.4,False,,1.0,False,,1.0,False,
31,1.0,False,,0.0,False,,1.0,False,,0.4,False,,0.4,False,,1.0,False,,1.0,False,
32,0.0,False,,0.0,False,,1.0,False,,0.0,False,,0.0,False,,1.0,False,,0.0,False,
33,1.0,False,,0.0,False,,1.0,False,,0.4,False,,0.4,False,,1.0,False,,1.0,False,
34,1.0,False,,0.2,False,,1.0,False,,0.2,False,,0.6,False,,1.0,False,,1.0,False,
40,0.8,False,,0.6,False,,0.6,False,,0.2,False,,0.0,False,,0.4,False,,0.2,False,
41,0.4,False,,1.0,False,,0.6,False,,0.2,False,,0.2,False,,0.6,False,,0.2,False,
42,1.0,False,,0.8,False,,0.6,False,,0.2,False,,0.4,False,,0.4,False,,0.6,False,
43,0.6,False,,0.8,False,,0.6,False,,0.2,False,,0.0,False,,0.4,False,,0.2,False,
44,0.8,False,,0.8,False,,0.6,False,,0.6,False,,0.2,False,,0.4,False,,0.2,False,
80,0.6,False,,0.6,False,,0.6,False,,0.6,False,,0.0,False,,0.6,False,,0.4,False,
81,0.6,False,,0.6,False,,0.6,False,,0.4,False,,0.0,False,,0.6,False,,0.4,False,
82,0.6,False,,0.6,False,,0.6,False,,0.6,False,,0.4,False,,0.6,False,,0.4,False,
83,0.6,False,,0.0,False,,0.6,False,,0.4,False,,0.2,False,,0.6,False,,0.4,False,
84,0.6,False,,0.6,False,,0.6,False,,0.6,False,,0.2,False,,0.6,False,,0.4,False,
95,0.6,False,,0.6,False,,0.6,False,,0.2,True,,0.0,False,,0.6,False,,0.2,True,
96,0.4,False,,0.6,False,,0.6,False,,0.2,True,,0.2,True,,0.6,False,,0.0,True,
97,0.4,False,,0.6,False,,0.6,False,,0.2,True,,0.2,True,,0.6,False,,0.0,True,
98,0.6,False,,0.6,False,,0.6,False,,0.4,False,,0.4,False,,0.6,False,,0.2,True,
99,0.6,False,,0.6,False,,0.6,False,,0.2,True,,0.4,False,,0.6,False,,0.2,True,
207,0.0,False,,0.2,True,,0.0,False,,0.2,True,,0.0,False,,0.2,True,,0.2,True,
208,0.0,False,,0.2,True,,0.2,True,,0.2,True,,0.0,False,,0.0,False,,0.2,True,
209,0.0,False,,0.2,True,,0.2,True,,0.2,True,,0.0,False,,0.0,False,,0.2,True,
212,1.0,False,,1.0,False,,1.0,False,,0.8,False,,0.0,False,,1.0,False,,1.0,False,
213,1.0,False,,1.0,False,,1.0,False,,0.8,False,,0.0,False,,1.0,False,,1.0,False,
217,0.4,False,,0.0,True,,0.2,True,,0.4,False,,0.4,False,,0.0,True,,0.4,False,
233,1.0,False,,1.0,False,,1.0,False,,1.0,False,,0.6,False,,1.0,False,,0.4,False,
239,0.6,False,,0.2,True,,0.6,False,,0.6,False,,0.6,False,,0.6,False,,0.6,False,
286,0.0,False,,0.2,True,,0.2,True,,0.2,True,,0.0,False,,0.2,True,,0.2,True,
287,0.0,False,,0.2,True,,0.2,True,,0.2,True,,0.0,False,,0.0,False,,0.2,True,
288,0.0,False,,0.0,True,,0.0,True,,0.0,True,,0.0,False,,0.0,False,,0.0,True,
289,0.0,False,,0.0,True,,0.0,True,,0.0,True,,0.0,False,,0.0,False,,0.0,True,
292,1.0,False,,1.0,False,,1.0,False,,0.0,True,,0.0,True,,1.0,False,,1.0,False,
293,1.0,False,,1.0,False,,1.0,False,,0.0,True,,0.0,True,,1.0,False,,1.0,False,
366,0.0,False,,0.0,True,,1.0,False,,0.0,True,,0.0,False,,0.0,True,,0.0,True,
368,0.0,False,,0.0,True,,1.0,False,,0.0,True,,0.0,False,,0.0,False,,0.0,True,
369,0.0,False,,0.0,True,,0.0,True,,0.0,True,,0.0,False,,0.0,False,,0.0,True,
372,1.0,False,,1.0,False,,1.0,False,,0.0,True,,0.0,True,,1.0,False,,1.0,False,
373,1.0,False,,1.0,False,,1.0,False,,0.0,True,,0.0,True,,1.0,False,,1.0,False,
446,0.0,True,,0.0,True,,0.0,True,,0.0,True,,0.0,False,,0.0,False,,0.0,True,
447,0.0,False,,0.0,True,,0.0,True,,0.0,True,,0.0,False,,0.0,True,,0.0,True,
448,0.0,False,,0.0,True,,0.0,True,,0.0,True,,0.0,False,,0.0,False,,0.0,True,
449,0.0,False,,0.0,True,,0.0,True,,0.0,True,,0.6,False,,0.0,True,,0.0,True,
452,1.0,False,,0.0,True,,1.0,False,,0.0,True,,0.0,True,,1.0,False,,1.0,False,
453,1.0,False,,1.0,False,,1.0,False,,0.0,True,,1.0,False,,1.0,False,,1.0,False,
456,0.6,False,,0.0,True,,0.4,False,,0.4,False,,0.4,False,,0.0,True,,0.4,False,
457,0.4,False,,0.0,True,,0.4,False,,0.4,False,,0.6,False,,0.0,True,,0.4,False,
472,0.6,False,,0.6,False,,0.6,False,,0.4,False,,0.0,True,,0.6,False,,0.4,False,
473,0.6,False,,0.6,False,,0.6,False,,0.6,False,,0.4,False,,0.6,False,,0.4,False,
478,0.4,False,,0.0,True,,0.4,False,,0.4,False,,0.4,False,,0.4,False,,0.4,False,
479,0.6,False,,0.0,True,,0.6,False,,0.6,False,,0.6,False,,0.0,True,,0.6,False,
526,0.0,True,,0.0,True,,0.0,True,,0.0,True,,0.0,False,,0.0,False,,0.0,True,
527,0.0,False,,0.0,True,,0.0,True,,0.0,True,,0.0,False,,0.0,False,,0.0,True,
532,1.0,False,,0.0,False,,1.0,False,,0.0,False,,0.8,False,,1.0,False,,1.0,False,
533,1.0,False,,1.0,False,,1.0,False,,0.0,False,,0.0,False,,1.0,False,,1.0,False,
621,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,
622,0.0,False,,0.0,False,,0.0,False,,0.0,True,,0.0,False,,0.0,False,,0.0,True,
624,0.0,True,,0.0,True,,0.0,False,,0.0,True,,0.0,False,,0.0,False,,0.0,True,
626,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,
627,0.0,False,,0.0,True,,0.0,False,,0.0,True,,0.0,False,,0.0,False,,0.0,True,
628,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,
629,0.0,False,,0.0,False,,0.0,False,,0.0,True,,0.0,False,,0.0,False,,0.0,True,
630,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,
631,0.0,True,,0.0,False,,0.0,False,,0.0,True,,0.0,False,,0.0,False,,0.0,True,
632,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,
633,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,
634,0.0,False,,0.0,False,,0.0,False,,0.0,True,,0.0,False,,0.0,False,,0.0,True,
642,1.0,False,,1.0,False,,1.0,False,,1.0,False,,0.0,False,,1.0,False,,1.0,False,
643,1.0,False,,1.0,False,,1.0,False,,0.0,False,,0.0,False,,0.0,False,,1.0,False,
644,1.0,False,,1.0,False,,1.0,False,,0.8,False,,0.0,False,,0.0,False,,1.0,False,
645,1.0,False,,0.0,False,,1.0,False,,0.8,False,,0.4,False,,1.0,False,,1.0,False,
646,1.0,False,,0.8,False,,1.0,False,,0.8,False,,0.4,False,,1.0,False,,1.0,False,
647,1.0,False,,1.0,False,,1.0,False,,0.8,False,,0.4,False,,1.0,False,,1.0,False,
648,1.0,False,,0.8,False,,1.0,False,,0.8,False,,0.4,False,,1.0,False,,1.0,False,
656,0.6,False,,0.0,True,,0.6,False,,0.0,True,,0.0,True,,0.4,False,,0.0,True,
657,0.0,True,,0.0,False,,0.6,False,,0.0,True,,0.0,True,,0.4,False,,0.0,True,
658,0.6,False,,0.0,True,,0.6,False,,0.0,True,,0.0,True,,0.4,False,,0.6,False,
659,0.0,True,,0.0,True,,0.6,False,,0.0,True,,0.0,True,,0.6,False,,0.0,True,
660,0.0,True,,0.0,False,,0.6,False,,0.0,True,,0.4,False,,0.4,False,,0.0,True,
661,0.0,True,,0.0,True,,0.6,False,,0.0,True,,0.4,False,,0.6,False,,0.0,True,
662,0.0,True,,0.0,True,,0.6,False,,0.0,True,,0.0,True,,0.4,False,,0.0,True,
712,0.6,False,,0.6,False,,0.6,False,,0.4,False,,0.2,False,,0.8,False,,0.4,False,
713,0.4,False,,0.4,False,,0.8,False,,0.4,False,,0.2,False,,0.6,False,,0.4,False,
714,0.4,False,,0.4,False,,0.4,False,,0.2,False,,0.2,False,,0.4,False,,0.4,False,
715,0.4,False,,0.0,False,,0.4,False,,0.2,False,,0.4,False,,0.8,False,,0.4,False,
716,0.0,False,,0.0,False,,0.4,False,,0.0,False,,0.4,False,,0.6,False,,0.4,False,
717,0.0,True,,0.4,False,,0.4,False,,0.4,False,,0.4,False,,0.0,False,,0.0,False,
718,0.0,False,,0.0,True,,0.4,False,,0.4,False,,0.0,False,,0.0,False,,0.0,False,
733,0.6,False,,0.0,False,,0.6,False,,0.0,True,,0.0,True,,0.4,False,,0.6,False,
734,0.6,False,,0.0,True,,0.6,False,,0.0,True,,0.0,True,,0.4,False,,0.0,True,
735,0.6,False,,0.0,True,,0.6,False,,0.0,True,,0.0,True,,0.6,False,,0.6,False,
736,0.0,True,,0.0,True,,0.6,False,,0.0,True,,0.0,True,,0.2,True,,0.0,True,
737,0.0,True,,0.0,True,,0.6,False,,0.0,True,,0.0,True,,0.0,True,,0.0,True,
738,0.0,True,,0.0,False,,0.6,False,,0.0,True,,0.0,True,,0.0,True,,0.0,True,
739,0.0,True,,0.0,True,,0.6,False,,0.0,True,,0.0,True,,0.0,True,,0.0,True,
901,0.0,False,,0.0,True,,0.0,False,,0.0,True,,0.0,False,,0.0,False,,0.0,True,
904,0.0,True,,0.0,False,,0.0,False,,0.0,True,,0.0,False,,0.0,False,,0.0,True,
905,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,
906,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,
907,0.0,False,,0.0,True,,0.0,False,,0.0,True,,0.0,False,,0.0,False,,0.0,True,
908,0.0,False,,0.0,True,,1.0,False,,0.0,True,,0.0,True,,0.0,False,,0.0,True,
910,0.0,False,,0.0,False,,0.0,False,,0.0,True,,0.0,False,,0.0,False,,0.0,True,
911,0.0,False,,0.0,False,,0.0,False,,0.0,True,,0.0,False,,0.0,False,,0.0,True,
912,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,
913,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,,0.0,False,
914,0.0,False,,0.0,True,,0.0,False,,0.0,True,,0.0,False,,0.0,False,,0.0,True,
922,1.0,False,,0.0,False,,1.0,False,,1.0,False,,0.0,False,,1.0,False,,1.0,False,
