id,time_utc,text,photos,CycloneName,Year,PortList,Condition,ConditionEffectiveTime,VesselOps,OceanVesselOps,FacilityOps
1,11/4/2024 23:34,"#Breaking @USCG Sector St. Pete set Port Condition Whiskey, Mon., ahead of Tropical Storm #Rafael.  Follow @NWSTampaBay &amp; @NWSNHC for the latest storm updates. ⛈️  Stay up to date on port conditions in St. Pete at https://t.co/k2oATVRa3G Read more here: https://t.co/plGng8MEoa https://t.co/gMNA0XsMvR",1_1.jpg,RAFAEL,2024,"Tampa, Manatee, StPetersburg",WHISKEY,11/4/2024 11:00,Vessels wishing to remain in port must obtain Captain-of-the-Port approval and submit a written safe-mooring plan; vessels unable to offload and depart within 24 hours of threatening winds should divert to an alternate port.,,Ports and facilities remain open to all commercial traffic and cargo transfer operations may continue while Condition WHISKEY is in effect.
2,11/4/2024 17:31,"#Breaking @USCG Sector #KeyWest set Port Condition X-Ray, Mon., ahead of Tropical Depression 18.  Follow @NWSKeyWest &amp; @NWSNHC for the latest storm updates. ⛈️  Stay up to date on port conditions in Key West at https://t.co/juouHegsVy  Read more here: ✍️ https://t.co/zEBx63Mmwx https://t.co/sWyndgFVau",2_1.jpg,EIGHTEEN,2024,KeyWest,X-RAY,11/4/2024 5:00,Vessels wishing to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels unable to offload and depart within 24 h of threatening winds should divert to an alternate port.,,Ports and facilities remain open to all commercial traffic and may continue cargo transfer operations while Condition X-Ray is in effect.
3,10/8/2024 12:27,@USCG @NWSTampaBay @NWSNHC @NHC_Atlantic #UPDATE @USCG Sector St. Petersburg set Port Condition Zulu ahead of Hurricane #Milton. ⛈️  Follow @NWSTampaBay &amp; @NHC_Atlantic  for storm updates!  Stay up to date on port conditions in Sector St. Petersburg at https://t.co/hH7t1VI273 https://t.co/rJXEWYLHq6,3_1.jpg,MILTON,2024,"Tampa, Manatee, StPetersburg, Charlotte",ZULU,10/8/2024 0:00,No vessels may enter or transit the port without Captain of the Port permission; all vessel movements are prohibited.,,"All waterfront operations are suspended; facility storm preparations should be complete, with only final safety actions allowed under COTP approval."
4,10/8/2024 10:47,@USCG @NWSKeyWest @NWSNHC @USCGLANTAREA @City_of_KeyWest @FLSERT @FLGuard @EvergladesNPS @NHC_Atlantic @thefloridakeys @fema #Update @USCG Captain of the Port for #KeyWest set Port Condition Zulu ahead of Hurricane #Milton.   Follow @NWSKeyWest &amp; @NHC_Atlantic for the latest storm updates.⛈️   Stay up to date on port conditions in Key West at https://t.co/HnaR8hSpzs. https://t.co/CQb2xCbXlv,4_1.jpg,MILTON,2024,"KeyWest, Marathon, StockIsland",ZULU,10/7/2024 22:00,No vessels may enter or transit within the ports without permission of the Captain of the Port; all vessel movements are prohibited.,,All waterfront operations are suspended and facility storm preparations should be complete; only final safety preparations authorized by the Captain of the Port may continue.
5,10/8/2024 10:15,"@NWSMiami @NHC_Atlantic @USCGLANTAREA @PortMiami @PortEverglades @FTLCityNews @Ft_Pierce @FLSERT #Update The Captain of the Port for #Miami set Port Condition Yankee ahead of Hurricane #Milton.   Follow @NWSMiami, @NHC_Atlantic for storm updates.  If your vessel is safely moored or out of the water, disable or take the EPIRB with you. Help stop false alerts during the storm! https://t.co/nDodwHbnbo",5_1.jpg,MILTON,2024,"Miami, Everglades, PalmBeach, Canaveral, Pierce",YANKEE,10/7/2024 22:00,"All vessels, including barges and pleasure craft, must plan to depart the port as early as possible; there are no safe havens in the port and vessel inventory should be kept to a minimum. Secure or remove EPIRBs from any vessel left ashore to prevent false alerts.",,"Ports and waterfront facilities should minimize the number of vessels in port, monitor storm conditions, and ensure the port area is cleared of non-essential traffic in preparation for sustained tropical-storm-force winds expected within 24 hours."
6,10/8/2024 1:01,"@USCG @NWSTampaBay @NWSNHC #UPDATE @USCG Sector St. Petersburg set Port Condition Yankee in anticipation of Hurricane #Milton. ⛈️  If your vessel is safely moored or out of the water, please disable EPIRB devices to prevent false alerts.🚨  Follow @NWSTampaBay &amp; @NHC_Atlantic  for storm updates! https://t.co/gwCMAQGcqy",6_1.jpg,MILTON,2024,"Tampa, StPetersburg, Manatee",YANKEE,10/7/2024 13:00,"Mariners are reminded there are no safe havens in these facilities; all vessels, barges, and pleasure craft should plan to depart the port early to avoid bridge closures, and the inventory of vessels in port should be kept to a minimum.",,"Ports and terminal operators should reduce alongside vessel numbers, ensure no vessels seek safe haven, secure equipment and cargo, monitor Coast Guard Homeport for updates, and prepare for storm surge and coastal flooding."
7,10/7/2024 18:51,"@USCG @NWSKeyWest @NWSNHC @USCGLANTAREA @City_of_KeyWest @FLSERT @FLGuard @EvergladesNPS @NHC_Atlantic #UPDATE @USCG Sector #KeyWest set Port Condition Yankee in anticipation of #HurricaneMilton. ⛈️  If your vessel is safely moored or out of the water, please disable EPIRB devices to prevent false alerts.🚨  Follow @NWSKeyWest &amp; @NHC_Atlantic  for storm updates! https://t.co/RkYGMXfEx5",7_1.jpg,MILTON,2024,"KeyWest, Marathon",YANKEE,10/7/2024 6:00,"Mariners are reminded there are no safe havens; all vessels, barges and pleasure craft should make plans to depart the port early to avoid bridge closures and should disable EPIRB devices if already moored or out of the water.",,"Ports and waterfront facilities should minimize the number of vessels in port, recognize that the port offers no safe haven, and continue to monitor Coast Guard Homeport for further directives."
8,10/6/2024 22:03,"#Update The Captain of the Port of #Miami set Port Condition X-Ray ahead of Hurricane #Milton.  Follow @NWSMiami, @NHC_Atlantic for storm updates.  Reminder: Use 911 and Ch. 16 to call for help!🚨 https://t.co/99agz50Eio",8_1.jpg,MILTON,2024,Miami,X-RAY,10/6/2024 10:00,"Vessels that wish to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels bound for South Carolina, Georgia or Florida that cannot safely off-load and depart within 24 hours of threatening winds should divert to an alternate port.",,Ports and facilities remain open to all commercial traffic and all transfer operations may continue while Port Condition X-RAY is in effect.
9,10/6/2024 21:06,"@USCG @NWSTampaBay @NWSNHC #Update The Captain of the Port of Sector St. Petersburg set Port Condition X-Ray ahead of Tropical Storm #Milton.   Follow @NWSTampaBay, @NWSNHC for the latest storm updates.    Reminder: Use 911 and Ch. 16 to call for help! 🚨 https://t.co/sDnnQwJX86",9_1.jpg,MILTON,2024,"Tampa, StPetersburg, Manatee, Clearwater",X-RAY,10/6/2024 9:00,Vessels wishing to remain in port must obtain Captain-of-the-Port permission and submit a written safe-mooring plan.,,Ports and facilities remain open to all commercial traffic and transfer operations may continue while Condition X-Ray is in effect.
10,10/6/2024 15:27,"#Breaking @USCG Sector Miami set Port Condition Whiskey, Sun., ahead of Tropical Storm #Milton. Follow @NWSMiami &amp; @NWSNHC for the latest storm updates. ⛈️  Stay up to date on port conditions in Miami at https://t.co/xHa1MkvEWe Read more here 🔗✍️: https://t.co/lwwDJBC9Hk https://t.co/oqhZ7GC82N",10_1.jpg,MILTON,2024,Miami,WHISKEY,10/6/2024 3:00,Vessels that wish to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels unable to offload and depart within 24 hours of threatening winds should divert to an alternate port.,,"Ports and facilities are open to all commercial traffic, and all transfer operations may continue while Port Condition WHISKEY is in effect."
